"plot","census","dominant_PFT","acom","bcom","ccom","minDBHcom","maxDBHcom","maxDBHdead","pattern","nb_trees","nb_deaths"
"T0515","2015-2020","EB-tree",-2.57861403266925,0.146983552978668,-1.48506338003798,0.986760647,38.1971863420549,32.59493235,"U-shaped",658,127
"T0516","2015-2020","EB-tree",-2.82737348679366,0.094146164778743,-0.711737000269682,0.986760647,35.8098622,35.8098622,"U-shaped",505,108
"T0517","2015-2020","EB-tree",-2.38094023707887,0.004612827132114,-0.369368563695604,0.986760647,32.913242231404,19.51239602,"Declined",477,145
"T0518","2015-2020","EB-tree",-2.58569029064499,-0.0173265067873269,-0.565182505027572,0.986760647,32.6904253110753,17.9,"Declined",338,70
"T0519","2015-2020","EB-tree",-2.29049255147443,-0.0310757759661647,-0.528084054381405,0.986760647,31.3853547777218,25.91042474,"Declined",360,86
"T0520","2015-2020","EB-tree",-2.48944197250839,-0.0344836542929331,-0.615242619134013,0.999493042617103,27.4987910674177,14.2,"Declined",647,131
"T0601","2015-2020","DB-tree",-1.40434841995611,-0.052554852961597,0.117120212800508,1.00000011,56.7005400259186,27.99999863,"Unimodal",154,103
"T0602","2015-2020","EB-tree",-2.00878644508031,0.00840964856549981,-0.306611069557955,0.999493042617103,51.4006804209585,19.30000057,"U-shaped",368,152
"T0603","2015-2020","EB-tree",-1.12148228866289,-3.26725571979641,5.83723336973714,0.999493042617103,45.1013277733813,3.000000012,"Unimodal",293,25
"T0604","2015-2020","EB-tree",-3.37859981324781,0.00302559469959223,-0.118871860893998,0.999493042617103,54.5996947771056,24.19999929,"U-shaped",360,52
"T0605","2015-2020","EB-tree",-3.09046594256957,0.130649101996606,-0.65615364106189,0.999493042617103,28.100396752305,24.29999953,"U-shaped",327,60
"T0606","2015-2020","EB-tree",-2.87628074830252,0.0285970401105688,-0.414554919284997,0.999493042617103,40.8996372757553,25.49999915,"U-shaped",334,58
"T0607","2015-2020","EB-tree",-3.24413054856818,0.0382592039341485,-0.659428862764353,0.986760647,38.1971863420549,27.4064812,"U-shaped",228,25
"T0608","2015-2020","EB-tree",-3.21185725701068,-0.0248897846265079,-0.293688007480595,0.986760647169751,55.003948332559,23.2047907,"Declined",309,40
"T0609","2015-2020","EB-tree",-2.8490426989621,-0.0567957123223313,0.0131453902891061,0.999493042617103,57.0984273836484,19.89999879,"Declined",373,80
"T0610","2015-2020","EB-tree",-2.50965325167106,0.089986811600806,-1.1960878708466,0.999493042617103,41.5012429606426,27.70000111,"U-shaped",360,60
"T0611","2015-2020","EB-tree",-2.4078724054746,-0.0453469733945217,-0.17205778835679,0.999493042617103,46.3013560442942,17.70000001,"Declined",351,99
"T0612","2015-2020","EB-tree",-3.25416021139507,0.00752039672688727,-0.274042951572898,1.10135220619592,38.9006511905211,34.99998635,"U-shaped",301,42
"T0613","2015-2020","EB-tree",-2.52822543659763,0.0287849776361199,-0.648304261048832,0.999493042617103,29.7014954798095,28.7,"U-shaped",384,89
